Name,Birthday,Death,City
Donald Trump,06/14/1946,still alive,New York
Ada Lovelace,12/10/1815,27/11/1852,London
Benjamin Franklin,01/17/1706,17/04/1790,Boston
Rowan Atkinson,01/06/1955,still alive,Consett
Albert Einstein,03/14/1879,18/04/1955,Ulm
